"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
29110-00001,천변,수변공원,,광주광역시 동구 수기동 138,35.150153,126.909264,424420,,,,,,1975-02-18,"광주광역시 동구, 서구, 남구, 북구",062-608-2962,2021-09-06
29110-00002,푸른길,근린공원,,광주광역시 동구 계림동 730,35.164073,126.916029,120586.1,,,,,,2002-05-07,"광주광역시 동구, 남구",062-613-2962,2021-09-06
29110-00003,산수,근린공원,,광주광역시 동구 산수동 401-1,35.155063,126.929324,19691,,,,,,1967-02-20,광주광역시 산수도서관,062-613-7822,2021-09-06
29110-00004,금남로,근린공원,,광주광역시 동구 금남로3가 20-2,35.149756,126.915493,3786.7,,,,,,2003-11-15,광주광역시 동구,062-608-2962,2021-09-06
29110-00005,두암제2,근린공원,,광주광역시 동구 산수동 687,35.16158847,126.9379859,10000.6,,,,,,1991-10-24,광주광역시 동구,062-608-2962,2021-09-06
29110-00006,용산,근린공원,,광주광역시 동구 용산동 323,,,14459,,,,,,2009-06-30,광주광역시 동구,062-608-2962,2021-09-06
29110-00007,산수제1,어린이공원,,광주광역시 동구 산수동 568-2,35.158977,126.934946,2500,,,,,,1990-12-12,광주광역시 동구,062-608-2962,2021-09-06
29110-00008,무량,어린이공원,,광주광역시 동구 운림동 671-1,35.13258444,126.9434747,2200,,,,,,1990-12-13,광주광역시 동구,062-608-2962,2021-09-06
29110-00009,계림제1,어린이공원,,광주광역시 동구 계림동 53,35.158524,126.925015,750,,,,,,2001-01-10,광주광역시 동구,062-608-2962,2021-09-06
29110-00010,무지개,어린이공원,,광주광역시 동구 운림동 693,35.130862,126.944456,2132.8,,,,,,2006-06-05,광주광역시 동구,062-608-2962,2021-09-06
29110-00011,학머리,어린이공원,,광주광역시 동구 학동 625,35.135958,126.926897,2102.6,,,,,,2001-12-17,광주광역시 동구,062-608-2962,2021-09-06
29110-00012,풍향,어린이공원,,광주광역시 동구 계림동 1730,35.160909,126.927968,2453.6,,,,,,1968-03-05,광주광역시 동구,062-608-2962,2021-09-06
